district,facility,latitude,longitude,source
Kotido,Kanawat Health Centre III,2.998128,34.085786,Uganda MFL
Kotido,KDDO Health Centre III,3.002076,34.109993,Uganda MFL
Kotido,Kotido General Hospital,3.014915,34.115907,Uganda MFL
Kotido,Kotido Police Health Centre II,3.010788,34.115832,Uganda MFL
Kotido,Kotido Prisons Health Centre II,3.014025,34.110999,Uganda MFL
Kotido,Lokiding Health Centre II,3.106286,33.956801,Uganda MFL
Kotido,Lokitelaebu Health Centre III,2.989332,34.000986,Uganda MFL
Kotido,Lookorok Health Centre II,3.020111,34.175524,Uganda MFL
Kotido,Lopuyo Health Centre II,3.059263,34.032548,Uganda MFL
Kotido,Losakucha Health Centre II,3.118096,33.911886,Uganda MFL
Kotido,Losilang Health Centre II,3.056162,34.137690,Uganda MFL
Kotido,Nakapelimoru Health Centre III,3.004976,34.198181,Uganda MFL
Kotido,Nakwakwa Health Centre II,3.066462,33.981325,Uganda MFL
Kotido,Napumpum Health Centre III,2.928450,34.119353,Uganda MFL
Kotido,Panyangara Health Centre III,2.963736,34.140941,Uganda MFL
Kotido,Rengen Health Centre III,3.069756,34.103114,Uganda MFL
Kotido,Rikitae Health Centre II,2.943337,34.157388,Uganda MFL
Kyegegwa,Kazinga Health Centre III,0.315902,30.863075,Uganda MFL
Kyegegwa,Migamba Health Centre II,0.444198,30.883416,Uganda MFL
Kyegegwa,Mpara Health Centre III,0.383139,30.984574,Uganda MFL
Moroto,Acherer Health Centre II,2.445330,34.602097,Uganda MFL
Moroto,Army Barracks Health Centre III,2.541095,34.667927,Uganda MFL
Moroto,Dmos Clinic,2.533717,34.647999,Uganda MFL
Moroto,Kakingol Health Centre III,2.586397,34.743702,Uganda MFL
Moroto,Kalemungole Health Centre III,2.389150,34.861386,Uganda MFL
Moroto,Kodonyo Health Centre II,2.447681,34.703865,Uganda MFL
Moroto,Kosiroi Health Centre II,2.416865,34.844069,Uganda MFL
Moroto,Lopelipel Health Centre II,2.498476,34.833098,Uganda MFL
Moroto,Loputuk Health Centre III,2.498380,34.647706,Uganda MFL
Moroto,Lotirir Health Centre II,2.476571,34.606925,Uganda MFL
Moroto,Moroto Police Health Centre II,2.531751,34.660485,Uganda MFL
Moroto,Moroto Prisons Health Centre II,2.525699,34.668771,Uganda MFL
Moroto,Moroto Regional Referral Hospital,2.530645,34.656898,Uganda MFL
Moroto,Nadunget Health Centre III,2.512368,34.581806,Uganda MFL
Moroto,Nakapelimen Health Centre III,2.527322,34.660926,Uganda MFL
Moroto,Nakiloro Health Centre II,2.617957,34.734716,Uganda MFL
Moroto,Rupa Health Centre II,2.565917,34.661600,Uganda MFL
Moroto,St. Pius Kidepo Health Centre III,2.567837,34.621944,Uganda MFL
Moroto,Tapac Health Centre III,2.460386,34.786737,Uganda MFL
Nabilatuk,Lolachat Health Centre III,1.939649,34.557350,Uganda MFL
Nabilatuk,Lorengedwat Health Centre III,2.359549,34.578835,Uganda MFL
Nabilatuk,Nabilatuk Health Centre IV,2.055023,34.576053,Uganda MFL
Nabilatuk,Nabilatuk Mission Health Centre II,2.068840,34.587384,Uganda MFL
Nabilatuk,Natirae Health Centre II,1.915466,34.517177,Uganda MFL
Nabilatuk,Nayonai Angikalio Health Centre II,2.036282,34.541974,Uganda MFL
Nakapiripirit,Amaler Health Centre III,1.755576,34.617783,Uganda MFL
Nakapiripirit,Karinga Health Centre II,1.838944,34.738403,Uganda MFL
Nakapiripirit,Lemusui Health Centre III,1.765121,34.808309,Uganda MFL
Nakapiripirit,Lomorunyangae Health Centre II,1.767089,34.568452,Uganda MFL
Nakapiripirit,Moruita 407 Bregade Health Centre III,1.892224,34.746126,Uganda MFL
Nakapiripirit,Moruita Health Centre II,1.887116,34.755506,Uganda MFL
